PROCESSO,COD_ASSUNTO,ASSUNTO,DESIGNACAO,TITULO,DATA_ABERTURA_PROCESSO
2.5.15.305.2014.1-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DOS INDUSTRIAIS DE ENGENHARIA ENERGÉTICA - APIEE- CE 5.501,2014.05.20 00:00:00
2.4.85.199.2014.0-DOT,137,ANULAÇÃO DE NORMAS ESTATUTÁRIAS,ANULAÇÃO DE NORMAS DE ESTATUTOS OU DE DELIBERAÇOES ,STRN- SINDICATO DOS TRABALHADORES DOS REGISTOS E DO NOTARIADO   C.E. 1.321,2014.04.03 00:00:00
2.4.15.244.2014.2-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTES DE ASS. SINDICAL,"SIND. TRAB. DO MUNICIPIO D EOEIRAS, TÉCNICOS DE SERVIÇOS E DE ENTIDADES COM FINS PÚBLICOS E SOCIAIS(1.6079",2014.04.29 00:00:00
2.5.15.247.2014.6-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,APIRAC - ASSOC. PORTUGUESA DA INDUSTRIA DE REFRIGERAÇAO E AR CONDICIONADO (5-10),2014.04.30 00:00:00
2.5.14.265.2014.5-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,ACOPE- ASSOCIAÇÃO DOS COMERCIANTES DE PESCADO   C.E. 5.94,2014.05.06 00:00:00
2.4.15.281.2014.3-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTES DE ASS. SINDICAL,SINERGIA - SINDICATO DA ENERGIA    C.E.   1.458,2014.05.09 00:00:00
2.4.14.289.2014.1-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,APIT- ASSOCIAÇÃO SINDICAL PROFISSIONAISINSPECÇÃO TRIBUTÁRIA    C.E. 1.590,2014.05.13 00:00:00
2.4.85.194.2014.4-DOT,137,ANULAÇÃO DE NORMAS ESTATUTÁRIAS,ANULAÇÃO DE NORMAS DE ESTATUTOS OU DE DELIBERAÇOES ,SINDICATO INDEPENDENTE NACIONAL DOS FERROVIÁRIOS - SINFB  (1.478),2014.04.01 00:00:00
2.5.15.201.2014.5-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ANCAVE- ASSOCIAÇÃO NACIONAL DOS CENTROS DE ABATE E INDUSTRIAS TRANSFORMADORAS DE CARNE DE AVES   C.E. 5.278,2014.04.04 00:00:00
2.6.18.212.2014.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,EXTINÇÃO DE COM. TRABALHADORES,"COMPANHIA LOGISTICA DE TERMINAIS MARITIMOS, SA      C.E. 9.683",2014.04.10 00:00:00
2.6.14.267.2014.8-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,SOPAC- SOCIEDADE PRODUTORA DE ADUBOS COMPOSTOS    C.E. 9.545,2014.05.06 00:00:00
