Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Socorama - Cinemas, SA",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,SP Cabo,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Sport TV,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Tamet - Electrónica e Comunicações, SA",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Teatro Aberto - Novo Grupo de Teatro,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Teatro José Lúcio da Silva,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Teatro Municipal da Guarda,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Telcabo,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Teleaplicação,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Teleleiria - Telecomunicações, Lda.",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Telemon Telecomunicações, SA",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Telepac,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Teleperformance Portugal, SA",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Telic - Telecomunicações e Montagens, SA",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Tempo Team - Recursos Humanos,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Tempo Team - Serviços,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,The Phone House,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"TLCI - Soluções Integradas de Telecomunicações, SA",,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,TMN,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Tutela,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,UCI - Multi-Cinemas,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,UCI Cinemas,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Unicabo,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Vertente Humana,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Via Net. Works,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Viatel,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Visabeira,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Webstar,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Wtvision - Sist. Inform. Telev. Lda.,,,Empresa,01-Apr,31-Dec,,2013,3
394-189,25-Mar,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Wwwatt.Com Ltd.,,,Empresa,01-Apr,31-Dec,,2013,3
375,21-Mar,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,,,,2013,3
379,21-Mar,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ","E.I.S. EUROPE INFLIGHT SERVICES PORTUGAL - SERVIÇOS DE CATERING, UNIPESSOAL, LDA",56210,,Empresa,29-Mar,02-May,,2013,3
371,20-Mar,ASSIFECO - Associação Sindical Independente dos Ferroviários da Carreira Comercial,"CP - Comboios de Portugal, EPE",49100,,Empresa,08-Apr,30-Jun,SUSPENSÃO DIA 26/3,2013,3
374,21-Mar,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","todas as Associações e entidades patronais dos sectores de Alimentação, Bebidas, Tabacos, Agricultura e outros serviços",n,,Sectores,27-Mar,,,2013,3
388,25-Mar,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","CARNES DO CONTINENTE - INDÚSTRIA E DISTRIBUIÇÃO DE CARNES, SA",10110,,Empresa,30-Mar,,,2013,3
383,22-Mar,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"SCS - Sistemas Complementares de Saúde, SA (Grupo EDP)",86210,,Empresa,30-Mar,,,2013,3
Nº 358,21-Mar-13,"SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE",Pensão e Residêncial Aviz,,,Empresa,28-Mar-13,,,2013,3
387,25-Mar,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","DAN CAKE (PORTUGAL), SA",10720,,Empresa,02-Apr,,,2013,3
386,25-Mar,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,"Câmara Municipal de Borba, Estremoz e Vila Viçosa",84113,,FP,09-Apr,,Greve das 8H às 12h,2013,3
391,25-Mar,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT na Unidade Local de Saúde do Norte Alentejano, EPE",86100,,FP,10-Apr,,,2013,3
392,25-Mar,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no Hospital de Évora, EPE",86101,,FP,10-Apr,,,2013,3
393,25-Mar,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT na Unidade Local de Saúde do Baixo Alentejo, EPE",86100,,FP,10-Apr,,,2013,3
384,22-Mar,SIMA - Sindicato das Indústrias Metalúrgicas e Afins,"FBP - FOUNDATION BRAKES PORTUGAL, S.A. (Unidade de Alferrarede)",29320,,Empresa,01-Apr,31-Dec,,2013,3
398,27-Mar,"STSSSS - Sindicato dos Trabalhadores da Saúde, Solidariedade e Segurança Social",Centro Social Infantil da Cruz de Pau,,,Empresa,02-Apr,,Greve entre as 15H e as 19H,2013,3
Nº 388,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no Centro Hospitalar Vila Nova de Gaia / Espinho, EPE",,,FP,12-Apr,,,2013,3
Nº 389,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no Centro Hospitalar do Porto, EPE",,,FP,12-Apr,,,2013,3
Nº 390,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no Centro Hospitalar São João, EPE",,,FP,12-Apr,,,2013,3
Nº 391,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no Centro Hospitalar Póvoa do Varzim / V. Conde, EPE",,,FP,12-Apr,,,2013,3
Nº 392,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT na Unidade Local Saúde de Matosinhos, EPE",,,FP,12-Apr,,,2013,3
Nº 393,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no IPO - Instituto Português de Oncologia do Porto, EPE",,,FP,12-Apr,,,2013,3
Nº 394,01-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros com CIT no Centro Hospitalar Tâmega e Sousa, EPE",,,FP,12-Apr,,,2013,3
,,SENSIQ - Sindicato de Quadros e Técnicos,Metropolitano de Lisboa - EPE,49310,,Empresa,20-Mar,,O APG não entrou. Em 21/3 entrou a suspensão  com o nº entrada 376,2013,3
,,SNM - Sindicato Nacional dos Motoristas,"Companhia Carris de Ferro de Lisboa, SA",,,Empresa,,,O APG não entrou. Em 27/3 entrou a suspensão  com o nº entrada 395. Greve aos feriados e TS,2013,3
,,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros no Centro Hospitalar do Médio Ave, EPE",,,FP,16-Apr,18-Apr,Greve por turnos,2013,3
,,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros na Unidade Local de Saúde do Alto Minho, EPE",,,FP,16-Apr,18-Apr,Greve por turnos,2013,3
,,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros no Centro Hospitalar do Alto Ave, EPE",,,FP,16-Apr,18-Apr,Greve por turnos,2013,3
417,04-Apr,SPBC - Sindicato dos Profissionais de Banca dos Casinos,"Varzim-SOL, SA - Salas de jogo do Casino da Póvoa do Varzim",,,Empresa,01-Mar,TI,,2013,4
411,03-Apr,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Transportes Urbanos de Braga - EM,,,Empresa,17-Apr,,Greve das 13 às 18H,2013,4
Nº 414,04-Apr,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","MIM - Metalúrgica Ideal do Mondego, SA",,,Empresa,10-Apr,12-Apr,,2013,4
Nº 441,09-Apr,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB/CAMAC - Companhia Nacional de Borracha, SA",,,Empresa,11-Apr,,Cancelada em 8-4,2013,4
Nº 413,04-Apr,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",,,,19-Apr,,Cancelada em 30-4 (entrada nº 525),2013,4
419,05-Apr,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas","EDP DISTRIBUIÇÃO - ENERGIA, SA",35130,,Empresa,23-Apr,24-Apr,,2013,4
Nº 426,05-Apr,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Conforlimpa Tejo Lda. (Direcção Regional do Centro do MEE),,,Empresa,15-Apr,19-Apr,,2013,4
426,08-Apr,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,"SATA INTERNACIONAL - SERVIÇOS E TRANSPORTES AÉREOS, SA / SATA AIR AÇORES - SOCIEDADE AÇORIANA DE TRANSPORTES AÉREOS, SA / SATA - GESTÃO DE AERÓDROMOS, SA",51100 / 51100 / 52230 ,,3 Empresas,22-Apr,05-May,,2013,4
427,08-Apr,SNPVAC - Sindicato Nacional do Pessoal de Voo da Aviação Civil,"SATA INTERNACIONAL - SERVIÇOS E TRANSPORTES AÉREOS, SA / SATA AIR AÇORES - SOCIEDADE AÇORIANA DE TRANSPORTES AÉREOS, SA",51100 / 51100,,2 Empresas,23-Apr,04-May,,2013,4
,10-Apr,SITEMA - Sindicato dos Técnicos de Manutenção de Aeronaves,"SATA AIR AÇORES - SOCIEDADE AÇORIANA DE TRANSPORTES AÉREOS, SA / SATA INTERNACIONAL - SERVIÇOS E TRANSPORTES AÉREOS, SA",51100/51100,,2 Empresas,23-Apr,05-May,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ","Todos os Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes, Cafés e Similares; Embarcações Turísticas; Parques de Campismo Públicos e Privados; Estabelecimentos de Turismo em Espaço Rural; Estabelecimentos de Animação Turística; Estabelecimentos Termais; Estabelecimentos de Spa's; Casinos; Salas de Jogo; Clube de Futebol; Cantinas e Refeitórios; Áreas de Serviço; Fábricas de Refeições e de Pastelaria e Confeitaria; Abastecedoras de Aeronaves; Catering; Hospitalização Privada; Ensino Particular e Cooperativo; Instituição Particulares de Solidariedade Social; Lares com e sem fim lucrativos e outros estabelecimentos similares",n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",AHRESP - Asociação de Hotelaria e Restauração de Portugal,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",AEEP - Associação de Estabelecimentos de Ensino Particular e Cooperativo,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",APC - Associação Portuguesa de Casinos,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",APHP - Associação Portuguesa de Hospitalização Privada,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",Fundação INATEL,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",AHETA - Associação dos Hóteis e Empreendimentos Turísticos do Algarve,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",AIHSA - Associação dos Industriais Hoteleiros e Similares do Algarve,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",INATEL,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ","APHORT - Associação Portuguesa de Hotelaria, Restauração e Turismo",n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",LPFP - Liga Portuguesa de Futebol Profissional,n,,Sectores,01-May,31-Dec,,2013,4
444-12,11-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",CNIS - Confederação Nacional de Instituição de Solidariedade,n,,Sectores,01-May,31-Dec,,2013,4
Nº 436,08-Apr,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Fábrica  Papel Cartão  Zarrinha, S.A",,,Empresa,02-May,30-May,"Greve nos dias: 2, 9, 16, 23 e 30 de Maio de 2013 ( turnos, das 22 horas às 24.00 horas)",2013,4
435,10-Apr,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,JCDECAUX,73110,,Empresa,18-Apr,31-Dec,,2013,4
436,10-Apr,FNSTFPS - Federação Nacional dos Sindicatos dos Trabalhadores em Funções Públicas e Sociais ,"Trab. Dos Museus, Palácios, Monumentos, Parques/Sítios Arqueológicos e fundações nacionais",84123,,FP,18-Apr,,,2013,4
437,10-Apr,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","Fisipe Fibras Sintéticas de Portugal, S.A.",20600,,Empresa,17-Apr,31-Dec,,2013,4
445,11-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros do Centro Hospitalar do Médio Tejo, EPE",86903,,FP e Sector,26-Apr,,,2013,4
446,11-Apr,SPAC - Sindicato dos Pilotos da Aviação Civil,EASYJET AIRLINE COMPANY LIMITED - SUCURSAL EM PORTUGAL,51100,,Empresa,26-Apr,29-Apr,CANCELADA A 25/4 a Greve para 26 e CANCELADA A 27/4 a Greve para 29. Greve dias 26 e 29-4,2013,4
457,12-Apr,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Corpo da Guarda Prisional,84240,,FP - Sector,24-Apr,30-Apr,,2013,4
Nº 449,11-Apr,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,,,Empresa,19-Apr,20-Apr,,2013,4
Nº 460,15-Apr,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","MIM - Metalúrgica Ideal do Mondego, SA",,,Empresa,22-Apr,03-May,Cancelada em 19-4 (entrada nº 490),2013,4
464-2,16-Apr,"FEPCES - Federação Portuguesa dos Sindicatos do Comércio, Escritórios e Serviços","CCP - Confederação do Comércio e Serviços de Portugal / CIP - Confederação Empresarial de Portugal / CAP - Confederação dos Agricultores de Portugal / CTP - Confederação do Turismo Português / APED - Associação Portuguesa de Empresas de Distribuição - todos os trab. Dos sectores do Comércio, Escritórios e Serviços ",n,,,01-May,,,2013,4
464-2,18-Apr,STICCS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE CARNES DO SUL,APED - Associação Portuguesa de Empresas de Distribuição - todos os trab. Dos supermercados e hipermercados,n,,,01-May,,,2013,4
465,16-Apr,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,EXIDE TECHNOLOGIES LDA,27200,,,24-Apr,,"Greve das 4H às 6H,  das 12H às 14H das 19:30H às 21:30H",2013,4
471,18-Apr,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros do Hospital de Santarém, EPE",,,,02-May,,Greve das 8H às 12H,2013,4
Nº 568,15-Apr,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","CONFORLIMPA TEJO, LIMPEZAS INDUSTRIAIS, SA (no Hospital de Viseu e Figueira da Foz)",,,Empresa,02-May,,,2013,4
Nº 473-2,16-Apr,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, S.A.",,,Empresa,05-May,08-May,Greve das 22 horas do dia 5 às 21 horas do dia 8-5,2013,4
Nº 474,16-Apr,STSTBA - Sindicato dos Trabalhadores do Sector Têxtil da Beira Alta,António F. Camello Cª Lda.,,,Empresa,24-Apr,,Cancelada em 23-4 (entrada nº 502),2013,4
Nº 473-2,16-Apr,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,Transportes Silva Marques,,,Empresa,22-Apr,03-May,Greve das 22 horas do dia 5 às 21 horas do dia 8-5,2013,4
473,18-Apr,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100/49200,,2 Empresas,06-May,06-Jun,,2013,4
476,19-Apr,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Corpo da Guarda Prisional,84240,,FP - Sector,06-May,11-May,,2013,4
484,23-Apr,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve ",Hotel Tivoli Marina Vilamoura - Secção de Serviços Técnicos,55111,,Empresa,27-Apr,28-Apr,,2013,4
Nº 481,18-Apr,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte",MAFIL - Manuel Machado Cª Lda.,,,Empresa,29-Apr,31-Dec,,2013,4
Nº 484,19-Apr,"SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE",Solar Residêncial São Gabriel,,,Empresa,27-Apr,,,2013,4
Nº 495,23-Apr,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB/CAMAC - Companhia Nacional de Borracha, SA",,,Empresa,02-May,,,2013,4
Nº 493,22-Apr,"SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE",Nobrecer Lda. (Cantinas das Escolas EB1 de Santo Tirso),,,Empresa,08-May,,Cancelada em 7-5 (entrada nº 556),2013,4
Nº 526,30-Apr,FNSTFPS - Federação Nacional dos Sindicatos dos Trabalhadores em Funções Públicas e Sociais ,"Polícia Municipal das Zonas Norte, Centro e Sul",,,Sector,02-May,,,2013,4
497,30-Apr,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,"VALORLIS - VALORIZAÇÃO E TRATAMENTO DE RESÍDUOS SÓLIDOS, SA",38212,,Empresa,12-May,13-May,,2013,4
Nº 538,03-May,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,"VALORLIS - VALORIZAÇÃO E TRATAMENTO DE RESÍDUOS SÓLIDOS, SA",,,Empresa,12-May,13-May,,2013,4
Nº 508,24-Apr,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","CONFORLIMPA TEJO, LIMPEZAS INDUSTRIAIS, SA (no ISEP - Instituto Superior de Engenharia do Porto)",,,Empresa,06-May,,,2013,4
Nº 507,24-Apr,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Fábio Dias & Irmão, Lda.",,,Empresa,18-May,,Cancelada em 20-5 (entrada nº 600),2013,4
495,29-Apr,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","Frilobo - Carqueijeiro & Lobo, Lda",10202,,Empresa,09-May,10-May,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa Geral de Depósitos, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa - Banco de Investimentos, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa - Imobiliário, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa Capital - Sociedade Capital de Risco, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixa Leasing e Factoring - IFIC, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixagest - Téc. Gestão de Fundos, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixanet - Telemática e Comunicações, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Caixatec - Tecnologias Comunicação, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Cares - Companhia de Seguros, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Cares Multiassistance, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Cetra - Centro Técnico Reparação Automóvel, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"CGD Pensões - Soc. Gest. Fundos de Pensões, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Fidelidade -Companhia de Seguros, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Companhia Portuguesa de Resseguros, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Credip - Instituição Financeira Crédito, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"E.A.P.S. - Emp. Análise, Prevenção e Segurança, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"EPS - Gestão de Sistemas de Saúde, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Fidelidade -Mundial, Sociedade Gestão e Invest. Imobiliário, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,Fundação Caixa Geral de Depósitos - Culturgest,,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,Fundger,,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"GEP - Gestão Peritagens Automóveis, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Imocaixa - Gestão Imobiliária, SA",,,Empresa,06-May,30-Jun,,2013,4
496-28,30-Apr,STEC - Sindicato dos Trabalhadores das Empresas do Grupo CGD ,"Multicare - Seguros de Saúde, SA",,,Empresa,06-May,30-Jun,,2013,4
