Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
Nº 154,21-Feb-14,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Nobrecer, Lda. (na cantina do Centro de Convalescença de Arcos de Valdevez)",56290,,Empresa,11-Mar,,GREVE CANCELADA A 10-3,2014,2
Nº 140,18-Feb-14, STIANOR - Sindicato dos Trabalhadores das Indústrias de Alimentação do Norte,"SORGAL - SOCIEDADE DE ÓLEOS E RAÇÕES, SA",10912,,Empresa,03-Mar-14,31-Dec-14,,2014,2
Nº 138,17-Feb-14,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,UNIÃO DE TRANSPORTES DOS CARVALHOS LDA,49391,,Empresa,10-Mar-14,,,2014,2
Nº 149,20-Feb-14,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte",YAZAKI SALTANO DE OVAR - PRODUTOS ELÉCTRICOS LDA,27320,,Empresa,01-Mar-14,31-Dec-14,,2014,2
Nº 133 e Nº 141,14-Feb,STFPSC - Sindicato dos Trabalhadores em Funções Públicas e Sociais do Centro,Centro Hospitalar e Universitário de Coimbra (Assist. Operacionais),86100,,FP,06-Mar,07-Mar,,2014,2
293,05-Mar,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,11-Mar,,,2014,2
294,05-Mar-14,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,"MOVIFLOR - COMÉRCIO DE MOBILIÁRIO, SA",47591,,Empresa,08-Mar,,,2014,2
299,06-Mar-14,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","UNILEVER JERÓNIMO MARTINS, LDA",46332,,Empresa,12-Mar-14,,,2014,2
295,05-Mar,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,"MOVIFLOR - COMÉRCIO DE MOBILIÁRIO, SA (Loja do Fundão)",47591,,Empresa,11-Mar,13-Mar,,2014,3
300,06-Mar,FENPROF - Federação Nacional dos Professores,Professores,85,,FP,14-Mar,,,2014,3
301,06-Mar,ASF-ASAE - Associação Sindical dos Funcionários da Autoridade de Segurança Alimentar e Económica,ASAE - Autoridade de Segurança Alimentar e Económica,841,,FP,21-Mar,,,2014,3
313,11-Mar,"STEFFAs - Sindicato dos Trabalhadores Civis das Forças Armadas, Estabelecimentos Fabris e Empresas de Defesa","Trabalhadores civis das Forças Armadas, das suas Academias e Institutos ",84220,,FP,26-Nov,,,2014,3
314,11-Mar,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve",Todo o ambito estatutário do Sindicato,n,,Sectores,12-Mar,,,2014,3
315,11-Mar,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,25-Mar,25-Apr,GREVE CANCELADA dia 12-3,2014,3
317,13-Mar,SNM - Sindicato Nacional dos Motoristas,"TST - Transportes Sul do Tejo, SA",49391,,Empresa,25-Mar,,GREVE CANCELADA dia 14-3,2014,3
318,13-Mar,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,27-Mar,27-Apr,,2014,3
339,17-Mar,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"KEMET ELECTRONICS PORTUGAL, SA",27900,,Empresa,23-Feb,28/fev,"Greve dias 21 e 28-3;  4, 11 e 18-4;  2, 9, 16, 23 e 30-5; 6, 13, 20 e 27-6",2014,3
340 e 399,17-Mar,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","Solnave, SA",56290,,Empresa,03-Apr,,,2014,3
341,17-Mar,SINTAC - Sindicato Nacional dos Trabalhadores da Aviação Civil,TAP Portugal,51100,,Empresa,01-Apr,30-Jun,,2014,3
343,18-Mar,SITRA - Sindicato dos Trabalhadores dos Transportes ,"TST - Transportes Sul do Tejo, SA",49391,,Empresa,01-Apr,08-Apr,,2014,3
347,18-Mar,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ","STEF PORTUGAL - LOGÍSTICA E TRANSPORTE, LDA",49410,,Empresa,26-Mar,31-Jul,,2014,3
348,18-Mar,"FEPCES - Federação Portuguesa dos Sindicatos de Comércio, Escritórios e Serviços","Todos os trabalhadores dos sectores do comércio, escritórios e serviços",n,,Sectores,17-Mar,31-Jul,,2014,3
349,18-Mar,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,01-Apr,30-Apr,,2014,3
357,20-Mar,STIM - Sindicato dos Trabalhadores da Indústria Mineira,Sojitz Beralt,07290,,Empresa,03-Apr-14,04-Apr-14,,2014,3
360,24-Mar,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL","Solnave, SA (no ISEG - Instituto Superior de Economia e Gestão)",56290,,Empresa,01-Apr,31-Dec,,2014,3
361,24-Mar,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","GOODREST, Lda.",56107,,Empresa,28-Mar,,GREVE SUSPENSA em 27-3,2014,3
362 e 415,24-Mar,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CDP 2000 Santarém)",53100,,Empresa,04-Apr,,GREVE SUSPENSA em 3-4,2014,3
363,24-Mar,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal ",OPTIPASSAGEM (na Herdade Agrícola de Rio Frio),02100,,Empresa,01-Apr,,,2014,3
365 e Nº 218,24-Mar-14,FP - Federação Nacional dos Sindicatos dos Trabalhadores em Funções Públicas e Sociais,Trabalhadores da carreira de vigilantes da natureza do Institutoda Conservação da Natureza e das Florestas,84130,,FP,28-Mar-14,,,2014,3
366,24-Mar-14,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"RODOVIÁRIA DO TEJO, SA",49391,,Empresa,28-Mar-14,,,2014,3
375,26-Mar," STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional, Empresas Públicas, Concessionárias e Afins","HPEM - Higiene Pública, Empresa Municipal",81292 ,,FP,08-Apr,11-Apr,,2014,3
378,27-Mar,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"GENERAL CABLE CELCAT, ENERGIA E TELECOMUNICAÇÕES, S.A.",27320,,Empresa,07-Apr,,,2014,3
379,27-Mar, SITRA - Sindicato dos Trabalhadores dos Transportes / SNM - Sindicato Nacional dos Motoristas / ASPTC -  Associação Sindical do Pessoal de Tráfego da Carris ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,10-Apr,31-May,,2014,3
