Nome_Org;Website
SINDICATO DOS TRABALHADORES DOS CENTROS DE TURISMO DE PORTUGAL NO ESTRANGEIRO;http://www.cgtp.pt/contactos/232-lisboa/104-sindicato-dos-trabalhadores-na-industria-de-hotelaria-turismo-restaurantes-e-similares-do-sul
FEDERAÇAO DE SINDICATOS DOS TRABALHADORES DO MAR;https://empresite.jornaldenegocios.pt/FESMAR-FEDERACAO-SINDICATOS-TRABALHADORES-MAR.html
SINDICATO DOS TECNICOS DE NAVEGAÇAO AEREA;https://empresite.jornaldenegocios.pt/SITNA-SINDICATO-TECNICOS-NAVEGACAO-AEREA.html
ASSOCIAÇAO SINDICAL DE PROFESSORES LICENCIADOS;http://aspl.webhs.pt/
SINDICATO NACIONAL DOS MOTORISTAS;http://www.snm.pt/
SINDICATO DOS TRABALHADORES DA QUÍMICA, FARMACÊUTICA, PETRÓLEO E GÁS DO CENTRO, SUL E ILHAS;http://cad.cgtp.pt/ica/index.php/7159;isaar
SINDICATO INDEPENDENTE DOS FERROVIÁRIOS E AFINS;https://sinfa.pt/
SINDICATO INDEPENDENTE DA BANCA;http://www.sibanca.pt/
FEDERAÇAO DOS SINDICATOS DAS INDÚSTRIA DE CERÂMICA, CIMENTO E VIDRO DE PORTUGAL;http://sindicatos.cgtp.pt/feviccom/
FEDERAÇÃO DOS SINDICATOS INDEPENDENTES DA BANCA;http://www.sibanca.pt/?conteudo=instituicao&subConteudo=
SINDICATO DOS TRABALHADORES DOS TRANSPORTES COLECTIVOS DO DISTRITO DE LISBOA;https://www.strup.pt/
ASSOCIAÇÃO SINDICAL DOS PROFESSORES PRÓ-ORDEM;https://federacaodosprofessores.com/
SINDICATO DEMOCRATICO DA HOTELARIA, ALIMENTAÇÃO E TURISMO;https://ephemerajpp.com/category/org/sindicatos/sindicato-democratico-da-hotelaria-alimentacao-e-turismo/
SINDICATO DOS CARPINTEIROS NAVAIS, CALAFATES E OFÍCIOS CORRELATIVOS, MECÂNICOS E DE MADEIRAS, VELEIROS , POLIDORES, ESTUFADORES E CONSTRUÇÃO NAVAL DE FIBRAS;https://www.jusbrasil.com.br/topicos/120531008/sindicato-nacional-dos-carpinteiros-navais-da-marinha-mercante
SINDICATO DOS TRABALHADORES DO TRÁFEGO PORTUÁRIO DE LISBOA E CENTRO DE PORTUGAL;https://empresite.jornaldenegocios.pt/SINDICATO-TRABALHADORES-TRAFEGO-PORTUARIO-LISBOA-CENTRO-PORTUGAL.html
SINDICATO DOS ESTIVADORES DO PORTO DE LISBOA CENTRO E SUL DE PORTUGAL;https://oestivador.wordpress.com/
SINDICATO INDEPENDENTE DOS FERROVIÁRIOS OPERACIONAIS DA CIRCULAÇÃO, TRANSPORTES E AFINS;https://sinfa.pt/
SINDICATO DOS FERROVIÁRIOS DO CENTRO;http://www.cgtp.pt/contactos/232-lisboa/65-sindicato-nac-dos-trabalhadores-do-sector-ferroviario
SINDICATO DOS MAQUINISTAS PRÁTICOS, AJUDANTES E ARTÍFICES DA MARINHA MERCANTE;https://dre.pt/pesquisa/-/search/537224/details/maximized?sort=whenSearchable&sortOrder=ASC%2Fen&q=Lei+n.%C2%BA%2010%2F97
SINDICATO DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO FARMACÊUTICOS;https://ephemerajpp.com/category/org/sindicatos/sindicato-dos-trabalhadores-da-industria-e-comercio-farmaceutico-sticf/
ORGANIZAÇAO SINDICAL DOS POLICIAS;https://pt-pt.facebook.com/pages/category/Labor-Union/Organiza%C3%A7%C3%A3o-Sindical-dos-Pol%C3%ADcias-OSPPSP-546854742357564/
SINDICATO DO PESSOAL ASSALARIADO DAS MISSÕES DIPLOMÁTICAS E POSTOS CONSULARES DOS ESTADOS UNIDOS DA AMXRICA E CANADÁ;https://dre.pt/web/guest/pesquisa/-/search/571020/details/maximized
SINDICATO INDEPENDENTE DOS TRABALHADORES DA RODOVIARIA DE LISBOA;https://empresite.jornaldenegocios.pt/SITRL-SINDICATO-INDEPENDENTE-TRABALHADORES-RODOVIARIA-LISBOA.html
ASSOCIAÇAO PORTUGUESA DOS EMPREGADOS DE BANCA DE CASINO;https://www.apebc-sindicato.org/
SINDICATO DOS PROFISSIONAIS DE POLÍCIA DA POLÍCIA DE SEGURANÇA PÚBLICA;https://www.spp-psp.pt/
SINDICATO NACIONAL DOS MOTORISTAS DE MATERIAS PERIGOSAS;https://www.snmmp.pt/
SINDICATO NACIONAL DE POLICIA;https://sinapol.pt/
SINDICATO NACIONAL DOS TRABRABALHADORES DAS ADMINISTRAÇÕES PORTUÁRIAS;https://www.dgert.gov.pt/etiquetas/sindicato-nacional-dos-trabalhadores-das-administracoes-portuarias
SINDICATO NACIONAL DA ACTIVIDADE TURÍSTICA, TRADUTORES E INTERPRETES;https://snatti.com/
SINDICATO DOS TÉCNICOS DE SEGURANÇA AÉREA;https://empresite.jornaldenegocios.pt/SINDICATO-TECNICOS-SEGURANCA-AEREA-SITECSA.html
SINDICATO DOS CONTROLADORES DE TRÁFEGO AÉREO;https://sincta.pt/
SINDICATO DOS PROFESSORES DO ENSINO SUPERIOR;https://www.snesup.pt/
SINDICATO DOS CONTABILISTAS;https://empresite.jornaldenegocios.pt/SINDICATO-CONTABILISTAS-LISBOA.html
SINDICATO DOS PROFISSIONAIS DE SEGUROS DE PORTUGAL;https://www.sisep.pt/
UNIAO GERAL DE TRABALHADORES - UGT PORTO;https://www.ugt.pt/
SINDICATO DOS INSPETORES DE INVESTIGAÇAO, FISCALIZAÇAO E FRONTEIRAS;http://www.scif.pt/
FEDERAÇÃO NACIONAL DOS PROFESSORES;https://www.fenprof.pt/
SINDICATO NACIONAL DE OFICIAIS DE POLICIA;https://pt-pt.facebook.com/pages/category/Nonprofit-Organization/Sindicato-Nacional-de-Oficiais-de-Pol%C3%ADcia-122461374574728/
SINDICATO DOS MEIOS AUDIOVISUAIS;http://www.smav.pt/
SINDICATO DA EDUCAÇÃO E FORMAÇÃO;http://educacao.sjogadores.pt/
